team_id,player_name,pos,weight,player_img,height,hgt,stre,spd,jmp,endu,ins,dnk,ft,fg,tp,diq,oiq,drb,pss,reb,jersery_number,conference_id,division_id,region,team_name,team_abbrev,colors,team_img,team_img_small,color_0,color_1,color_2
5,Evan Mobley,FC,215,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630596.png,83,67,45,57,70,63,72,69,45,66,35,55,65,47,52,72,,0.0,1.0,Cleveland,Cavaliers,CLE,"['#72253d', '#b4975a', '#72253d']",https://i.imgur.com/9xq1vir.png,https://i.imgur.com/0SjE4B4.png,#72253d,#b4975a,#72253d
19,Julius Randle,PF,250,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png,80,56,67,62,64,90,78,80,48,65,47,37,69,47,50,85,,0.0,0.0,New York,Knicks,NYK,"['#006BB6', '#F58426', '#BEC0C2']",https://i.imgur.com/5sMoAPA.png,https://i.imgur.com/nvApVkz.png,#006BB6,#F58426,#BEC0C2
17,Rudy Gobert,C,258,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203497.png,85,80,91,35,38,89,68,98,38,46,0,60,72,35,39,87,,1.0,4.0,Minnesota,Timberwolves,MIN,"['#0c2340', '#ffffff', '#236192']",https://i.imgur.com/037yAWf.png,https://i.imgur.com/tVyaRnG.png,#0c2340,#ffffff,#236192
11,Myles Turner,C,250,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626167.png,83,70,63,40,86,65,46,88,52,48,62,57,60,33,40,62,,0.0,1.0,Indiana,Pacers,IND,"['#002D62', '#FDBB30', '#BEC0C2']",https://i.imgur.com/9MYESXY.png,https://i.imgur.com/kb9F5EN.png,#002D62,#FDBB30,#BEC0C2
9,Draymond Green,PF,230,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,78,55,80,50,57,68,55,61,39,37,40,73,55,38,80,68,,1.0,5.0,Golden State,Warriors,GSW,"['#1D428A', '#ffc72c', '#ffc72c']",https://i.imgur.com/lPL67qh.png,https://i.imgur.com/46Wu1vc.png,#1D428A,#ffc72c,#ffc72c
28,Lauri Markkanen,F,240,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png,84,61,58,58,41,68,55,82,65,88,62,43,72,45,43,73,,1.0,4.0,Utah,Jazz,UTA,"['#fff21f', '#000000', '#000000']",https://i.imgur.com/jWkcCCN.png,https://i.imgur.com/m1XTrDh.png,#fff21f,#000000,#000000
4,Lonzo Ball,PG,190,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png,78,47,53,57,55,42,56,10,55,65,84,73,68,43,60,60,,0.0,1.0,Chicago,Bulls,CHI,"['#CE1141', '#FFFFFF', '#000000']",https://i.imgur.com/Nulx9UE.png,https://i.imgur.com/T8ApQxR.png,#CE1141,#FFFFFF,#000000
9,James Wiseman,C,240,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630164.png,84,70,61,51,57,47,62,80,30,70,35,34,47,38,34,65,,1.0,5.0,Golden State,Warriors,GSW,"['#1D428A', '#ffc72c', '#ffc72c']",https://i.imgur.com/lPL67qh.png,https://i.imgur.com/46Wu1vc.png,#1D428A,#ffc72c,#ffc72c
2,Ben Simmons,PG,240,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627732.png,83,60,50,75,45,36,71,50,29,46,3,63,60,60,65,70,,0.0,0.0,Brooklyn,Nets,BKN,"['#000000', '#FFFFFF', '#000000']",https://i.imgur.com/lDrufi8.png,https://i.imgur.com/hehPiuV.png,#000000,#FFFFFF,#000000
6,Luka Doncic,G,230,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/1610612742/2018/260x190/1629029.png,79,52,50,74,63,88,92,99,50,95,55,44,77,78,56,94,,1.0,3.0,Dallas,Mavericks,DAL,"['#0064b1', '#bbc4ca', '#000000']",https://i.imgur.com/OGDsVKN.png,https://i.imgur.com/kK4kDaz.png,#0064b1,#bbc4ca,#000000
